;b_id2;year_median_median;lat_1_max_min;long_1_max_min
67;b_159_800;1998;-22.03725008;-42.65937494
96;b_188_800;1998;-19.97341003;-40.53311039
115;b_204_800;1998;-15.18392664;-39.06726274
116;b_205_800;1998;-15.17881627;-39.03490964
118;b_207_800;1998;-15.16469705;-39.05715256
119;b_208_800;1998;-15.15056873;-39.0749754
120;b_209_800;1998;-15.14025059;-39.14055902
122;b_210_800;1998;-15.13266799;-39.18116827
123;b_211_800;1998;-15.11358635;-39.13732469
124;b_212_800;1998;-15.00677777;-39.14065593
125;b_213_800;1998;-14.9964799;-39.13654082
126;b_214_800;1998;-14.99297357;-39.12163829
127;b_215_800;1998;-14.96943295;-39.09643901
31;b_126_800;1999;-22.56360002;-42.9647
32;b_127_800;1999;-22.56250002;-42.9542
34;b_129_800;1999;-22.55330002;-42.9025
37;b_131_800;1999;-22.54250002;-42.805
43;b_137_800;1999;-22.51940002;-42.8867
23;b_119_800;2000;-22.59830002;-42.885
25;b_120_800;2000;-22.59390002;-42.8564
29;b_124_800;2000;-22.58170002;-42.9042
40;b_134_800;2000;-22.53000002;-42.8617
42;b_136_800;2000;-22.52170002;-42.7914
44;b_138_800;2000;-22.51500002;-42.7569
47;b_140_800;2000;-22.49420004;-42.86185003
70;b_161_800;2000;-22.02063891;-42.65675
95;b_187_800;2000;-19.97552992;-40.59376697
97;b_189_800;2000;-19.9652778;-40.58805556
99;b_190_800;2000;-19.96000002;-40.59694444
66;b_158_800;2001;-22.03733335;-42.63919444
69;b_160_800;2001;-22.03069454;-42.64833337
72;b_163_800;2001;-22.00800002;-42.63427778
179;b_69_800;2002;-23.79663802;-46.99703
181;b_70_800;2002;-23.77705202;-47.006983
182;b_71_800;2002;-23.76847102;-47.045778
183;b_72_800;2002;-23.76195802;-47.089878
184;b_73_800;2002;-23.75626102;-47.004732
185;b_74_800;2002;-23.75028502;-47.055489
186;b_75_800;2002;-23.73600802;-47.074596
188;b_77_800;2002;-23.73048202;-47.117953
190;b_79_800;2002;-23.72506902;-47.062203
192;b_80_800;2002;-23.72459502;-47.073336
195;b_83_800;2002;-23.71351782;-47.09262201
196;b_84_800;2002;-23.71195161;-47.072244
197;b_85_800;2002;-23.69612802;-46.956857
198;b_86_800;2002;-23.69739019;-47.07509591
