"","akodon.montensis","blarinomys.breviceps","brucepattersonius.soricinus","calomys.tener","gracilinanus.microtarsus","monodelphis.scalops","necromys.lasiurus","oligoryzomys.flavescens","oligoryzomys.nigripes","phyllomys.nigrispinus","cryptonanus.agricolai","juliomys.pictipes","thaptomys.nigrita","akodon.cursor","didelphis.aurita","euryoryzomys.russatus","oxymycterus.dasytrichus","nectomys.squamipes","oecomys.catherinae","didelphis.albiventris","marmosa.paraguayana","oxymycterus.quaestor","monodelphis.americana","akodon.paranaensis","castoria.angustidens","gracilinanus.agilis","monodelphis.dimidiata","metachirus.myosuros","trinomys.dimidiatus","philander.quica","marmosops.incanus","caluromys.philander","delomys.dorsalis","marmosops.paulensis","oxymycterus.delator","rhipidomys.mastacalis","sooretamys.angouya","trinomys.gratiosus.bonafidei","rhagomys.rufescens","monodelphis.iheringi","cerradomys.subflavus","trinomys.paratus","marmosa.murina","hylaeamys.seuanezi","marmosa.demerarae","abrawayaomys.ruschii","delomys.sublineatus","drymoreomys.albimaculatus","monodelphis.pinocchio","oxymycterus.rufus","monodelphis.kunsi","bibimys.labiosus"
"b_100_800",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_101_800",1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_103_800",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_105_800",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_10_800",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_110_800",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_114_800",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_115_800",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_11_800",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_122_800",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
