"","contag","shdi","shei","np","ed","forest_area_mn","forest_cpland","forest_ed","forest_enn_mn","forest_np","forest_pd","forest_pland","forest_te","mosaic_area_mn","mosaic_ed","mosaic_enn_mn","mosaic_np","mosaic_pd","mosaic_pland","mosaic_te","pasto_area_mn","pasto_ed","pasto_enn_mn","pasto_np","pasto_pd","pasto_pland","pasto_te","silviculture_area_mn","silviculture_ed","silviculture_enn_mn","silviculture_np","silviculture_pd","silviculture_pland","silviculture_te","water_pland","grassland_area_mn","grassland_pland","agriculture_area_mn","agriculture_ed","agriculture_enn_mn","agriculture_np","agriculture_pd","agriculture_pland","agriculture_te","n_obs_pland","non_veg_pland","Elev_m1","NaturalAreas"
"b_100_800",39.8698434227955,0.94126071310412,0.85677242355012,22,70.3090013434841,24.3,25.2575011195701,40.4537990744887,110.710678118655,3,1.49276011344977,36.2740707568294,8130,1.416,53.8886400955366,121.49426072753,15,7.46380056724884,10.5687416032244,10830,26.7075,46.2755635169428,135.396677722695,4,1.99034681793302,53.1571876399463,9300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877.633972167969,0
"b_101_800",61.7396751238539,0.851167282502502,0.528859967772975,23,76.1776982707215,4.725,7.3345259391771,29.3679189028026,193.8440281504,6,2.98151460942159,14.087656529517,5910,2.31428571428571,69.1711389385808,99.6204252239206,14,6.9568674219837,16.1001788908766,13920,139.59,51.4311270125224,0,1,0.496919101570264,69.3649373881932,10350,0.45,1.49075730471079,0,1,0.496919101570264,0.223613595706619,300,0.223613595706619,0,0,0,0,0,0,0,0,0,0,0,882.5009765625,0
"b_103_800",80.6810086689646,0.163023629494366,0.235193381819242,5,20.1252236135957,193.5,85.6440071556351,20.1252236135957,0,1,0.496919101570264,96.1538461538461,4050,1.935,20.1252236135957,158.120718977237,4,1.98767640628106,3.84615384615385,4050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.2873497009278,0
"b_105_800",39.6749894132802,0.850925703372826,0.774545954154979,33,99.0691805334597,134.994950499373,47.0765262252794,75.216482709312,0,1,0.498091940252869,67.2398968185727,15100.9234702988,1.26881443244295,74.7774760008844,105.387445203798,20,9.96183880505739,12.6397248495271,15012.7857846729,3.36624237178743,48.144402356723,110.179431055462,12,5.97710328303443,20.1203783319003,9665.76619012973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.117500305176,0
"b_10_800",65.5362208522263,0.84676775926241,0.435152547857101,29,101.073345259392,33.3675,43.0679785330948,92.7251043530113,66.2132034355964,4,1.98767640628106,66.3237924865832,18660,1.116,16.2492546213476,184.249223594996,5,2.48459550785132,2.77280858676208,3270,0,0,0,0,0,0,0,6.32,73.9415623136553,92.3825888070629,9,4.47227191413238,28.2647584973166,14880,1.96779964221825,0.135,0.134168157423971,0.63,2.38521168753727,0,1,0.496919101570264,0.313059033989267,480,0.223613595706619,0,998.890014648438,66.4579606440072
"b_110_800",47.1523190769065,1.27331346962241,0.710649778327104,32,129.753914988814,31.53,28.6353467561521,81.8791946308725,117.522458442801,3,1.49142431021626,47.0246085011186,16470,3.97285714285714,112.602535421327,77.3653437100749,14,6.95998011434253,27.6510067114094,22650,3.31,41.9090231170768,184.060605419799,9,4.47427293064877,14.8098434004474,8430,0,0,0,0,0,0,0,0.58165548098434,1.08,0.536912751677852,0,0,0,0,0,0,0,0,9.39597315436242,33.1822004318237,47.5615212527964
"b_114_800",62.9485362215549,0.538762972399947,0.490403191332504,17,50.6272401433692,84.87,70.1164874551971,39.426523297491,84.8528137423857,2,0.995619275189168,84.4982078853047,7920,1.72,38.9784946236559,109.510507341594,9,4.48028673835125,7.70609318996416,7830,2.61,22.8494623655914,278.493417885634,6,2.9868578255675,7.79569892473118,4590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465.651000976562,0
"b_115_800",58.7532129239646,0.856144926399673,0.531952751818085,40,100,34.74,52.152466367713,65.1718983557549,97.9632944758503,4,1.99302441454908,69.237668161435,13080,1.44375,86.2481315396114,69.5178978596364,24,11.9581464872945,17.2645739910314,17310,2.592,44.3946188340807,202.154328932551,10,4.9825610363727,12.914798206278,8910,0,0,0,0,0,0,0,0,0.63,0.31390134529148,0,0,0,0,0,0,0,0,0.269058295964126,451.088012695312,69.5515695067265
"b_11_800",67.4011359340498,0.758479010024595,0.423315195510796,24,82.9603103551179,20.7385714285714,52.7305282005372,78.3348254252462,72.4547758080418,7,3.48154779667761,72.2023276633841,15750,0.405,3.73022978215458,766.615940350838,2,0.994727941907888,0.402864816472695,750,0,0,0,0,0,0,0,6.55714285714286,50.8803342285885,112.716698913196,7,3.48154779667761,22.829006266786,10230,3.89435989256938,0.99,0.492390331244405,0,0,0,0,0,0,0,0.17905102954342,0,1001.22998046875,72.6947179946285
"b_122_800",44.0022027318779,1.08313547899547,0.781317092078831,27,86.3921217547001,13.8375,19.9641897940913,33.7212772306774,143.334961274492,4,1.98945588381578,27.5290957923008,6780,2.07529411764706,63.2646971053417,109.237696116494,17,8.45518750621705,17.5470008952551,12720,52.965,64.0107430617726,67.0820393249937,2,0.994727941907888,52.6857654431513,12870,0,0,0,0,0,0,0,0,1.125,2.23813786929275,0,0,0,0,0,0,0,0,0,60.3663997650146,29.7672336615936
